image_id,method,psnr,ssim,label
3144,hist_eq,10.092602121976295,0.5724320148486156,0
3144,clahe,17.609113435864856,0.7618671060590678,0
3144,gamma,17.487058821124908,0.883994045194867,0
3144,normalized,14.17445185244982,0.7849298426874807,0
3144,gaussian,37.60384916321255,0.9460261023912594,0
3144,median,37.78347284534544,0.939768308125739,0
3144,bilateral,32.98568660730052,0.8419842798705361,0
3144,sobel,13.543318027784235,0.10179273366461822,0
3144,laplacian,6.409002171945683,0.06650614567600677,0
3144,canny,10.369316616075597,0.027514529729558604,0
1977,hist_eq,11.382091173749005,0.5181236701041033,0
1977,clahe,23.607397509173488,0.864848032822625,0
1977,gamma,18.48525916735725,0.8581097587524682,0
1977,normalized,26.435294393307124,0.9873984232955612,0
1977,gaussian,37.363257937965344,0.9669592930699051,0
1977,median,35.58341453634589,0.9615429255297617,0
1977,bilateral,33.386540938286885,0.9037244450807952,0
1977,sobel,11.146187931187805,0.11287940642415187,0
1977,laplacian,6.802142687064505,0.054426003136805616,0
1977,canny,9.36070037588668,0.04446466704766596,0
2820,hist_eq,6.7721528670665,0.21854362677231406,1
2820,clahe,21.34956499839802,0.6384019773628995,1
2820,gamma,21.025400983477944,0.6432640196725586,1
2820,normalized,22.827688459374308,0.9053459087855983,1
2820,gaussian,37.8183537396452,0.9747101465708253,1
2820,median,36.19098612429977,0.967738232813388,1
2820,bilateral,35.46137944726364,0.9248139593935137,1
2820,sobel,18.325089217576586,0.43771876620807204,1
2820,laplacian,7.436448260502559,0.2074908241154089,1
2820,canny,13.62912375552741,0.32715057061288794,1
2449,hist_eq,11.966609402516594,0.762830944200421,0
2449,clahe,34.845121670608435,0.438674445620154,0
2449,gamma,35.213804472440565,0.8901549249591689,0
2449,normalized,inf,1.0,0
2449,gaussian,38.60816751156166,0.9955868841515808,0
2449,median,33.371204842491004,0.9897622599072365,0
2449,bilateral,48.59486530611433,0.9944353467804791,0
2449,sobel,30.764593520890223,0.9286802563657643,0
2449,laplacian,13.262925361144035,0.7665189459249422,0
2449,canny,28.18149886953544,0.8966420351913239,0
3067,hist_eq,3.7834251103006666,0.15998886435667858,0
3067,clahe,22.35814370547406,0.6273545393699821,0
3067,gamma,23.868048373367223,0.5737553361460687,0
3067,normalized,17.698916411199193,0.6637522285977973,0
3067,gaussian,39.36584668825918,0.9762908801747785,0
3067,median,36.9369305533202,0.9593125717969436,0
3067,bilateral,35.81180264862303,0.9373425270534591,0
3067,sobel,20.56156521051883,0.409044117322547,0
3067,laplacian,9.99411880242494,0.2963338385283833,0
3067,canny,16.60129206293896,0.3772129197215933,0
137,hist_eq,10.905462264922996,0.5699633851823371,1
137,clahe,20.114720591530872,0.7825091208015861,1
137,gamma,18.821046843986593,0.8039772835475244,1
137,normalized,14.045876462533517,0.8481245183743259,1
137,gaussian,35.434853374960845,0.9613733717501671,1
137,median,35.42117775270342,0.9565508352551848,1
137,bilateral,32.87040416933245,0.913594134149101,1
137,sobel,11.541118719322208,0.17575357633728048,1
137,laplacian,6.556447758459929,0.03742765326814602,1
137,canny,9.273246192937792,0.03747571998888905,1
